,1stFlrSF,2ndFlrSF,3SsnPorch,BedroomAbvGr,BldgType,BsmtFinSF1,BsmtFinSF2,BsmtFullBath,BsmtHalfBath,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GrLivArea,HalfBath,HasBsmt,Heating,HeatingQC,HouseStyle,Id,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotShape,LowQualFinSF,MSSubClass,MSZoning,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,RoofMatl,RoofStyle,SaleCondition,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold
0,856,854,0,3,1Fam,706.0,0.0,1.0,0.0,150.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,0,PConc,2,Typ,548.0,2.0,7.444248649496705,1,1,GasA,Ex,2Story,1,1,Gd,Lvl,Gtl,8450,Inside,Reg,0,60,RL,0,2,CollgCr,61,5,7,Y,0,CompShg,Gable,Normal,WD,0,Pave,8,6.752270376141742,AllPub,0,2003,2003,2008
1,1262,0,0,3,1Fam,978.0,0.0,0.0,1.0,284.0,Y,Feedr,Norm,SBrkr,0,TA,TA,MetalSd,MetalSd,1,CBlock,2,Typ,460.0,2.0,7.140453043101158,0,1,GasA,Ex,1Story,2,1,TA,Lvl,Gtl,9600,FR2,Reg,0,20,RL,0,5,Veenker,0,8,6,Y,0,CompShg,Gable,Normal,WD,0,Pave,6,7.140453043101158,AllPub,298,1976,1976,2007
2,920,866,0,3,1Fam,486.0,0.0,1.0,0.0,434.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,1,PConc,2,Typ,608.0,2.0,7.487733761436444,1,1,GasA,Ex,2Story,3,1,Gd,Lvl,Gtl,11250,Inside,IR1,0,60,RL,0,9,CollgCr,42,5,7,Y,0,CompShg,Gable,Normal,WD,0,Pave,6,6.824373670043086,AllPub,0,2001,2002,2008
3,961,756,0,3,1Fam,216.0,0.0,1.0,0.0,540.0,Y,Norm,Norm,SBrkr,272,TA,TA,Wd Sdng,Wd Shng,1,BrkTil,1,Typ,642.0,3.0,7.448333860897476,0,1,GasA,Gd,2Story,4,1,Gd,Lvl,Gtl,9550,Corner,IR1,0,70,RL,0,2,Crawfor,35,5,7,Y,0,CompShg,Gable,Abnorml,WD,0,Pave,7,6.628041376179533,AllPub,0,1915,1970,2006
4,1145,1053,0,4,1Fam,655.0,0.0,1.0,0.0,490.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,1,PConc,2,Typ,836.0,3.0,7.6953031349635665,1,1,GasA,Ex,2Story,5,1,Gd,Lvl,Gtl,14260,FR2,IR1,0,60,RL,0,12,NoRidge,84,5,8,Y,0,CompShg,Gable,Normal,WD,0,Pave,9,7.0431599159883405,AllPub,192,2000,2000,2008
5,796,566,320,1,1Fam,732.0,0.0,1.0,0.0,64.0,Y,Norm,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,0,Wood,1,Typ,480.0,2.0,7.216709486709457,1,1,GasA,Ex,1.5Fin,6,1,TA,Lvl,Gtl,14115,Inside,IR1,0,50,RL,700,10,Mitchel,30,5,5,Y,0,CompShg,Gable,Normal,WD,0,Pave,5,6.679599185844383,AllPub,40,1993,1995,2009
6,1694,0,0,3,1Fam,1369.0,0.0,1.0,0.0,317.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,1,PConc,2,Typ,636.0,2.0,7.434847875211999,0,1,GasA,Ex,1Story,7,1,Gd,Lvl,Gtl,10084,Inside,Reg,0,20,RL,0,8,Somerst,57,5,8,Y,0,CompShg,Gable,Normal,WD,0,Pave,7,7.430114138561801,AllPub,255,2004,2005,2007
7,1107,983,0,3,1Fam,859.0,32.0,1.0,0.0,216.0,Y,PosN,Norm,SBrkr,228,TA,TA,HdBoard,HdBoard,2,CBlock,2,Typ,484.0,2.0,7.644919344958857,1,1,GasA,Ex,2Story,8,1,TA,Lvl,Gtl,10382,Corner,IR1,0,60,RL,350,11,NWAmes,204,6,7,Y,0,CompShg,Gable,Normal,WD,0,Pave,7,7.009408932708637,AllPub,235,1973,1973,2009
8,1022,752,0,2,1Fam,0.0,0.0,0.0,0.0,952.0,Y,Artery,Norm,FuseF,205,TA,TA,BrkFace,Wd Shng,2,BrkTil,2,Min1,468.0,2.0,7.480992162869525,0,1,GasA,Gd,1.5Fin,9,2,TA,Lvl,Gtl,6120,Inside,Reg,0,50,RM,0,4,OldTown,0,5,7,Y,0,CompShg,Gable,Abnorml,WD,0,Pave,8,6.858565034791365,AllPub,90,1931,1950,2008
9,1077,0,0,2,2fmCon,851.0,0.0,1.0,0.0,140.0,Y,Artery,Artery,SBrkr,0,TA,TA,MetalSd,MetalSd,2,BrkTil,1,Typ,205.0,1.0,6.981934677156389,0,1,GasA,Ex,1.5Unf,10,2,TA,Lvl,Gtl,7420,Corner,Reg,0,190,RL,0,1,BrkSide,4,6,5,Y,0,CompShg,Gable,Normal,WD,0,Pave,5,6.898714534329988,AllPub,0,1939,1950,2008
