,SalePrice
0,125369.32742226138
1,153053.9770211879
2,174332.13893003378
3,179888.69349957252
4,203884.15696315494
5,179741.90905270958
6,163931.20484369597
7,176251.14459637465
8,187251.77955489268
9,111937.33828446406
10,187884.07350571803
11,99005.19986076336
12,100961.01981789098
13,152707.0861325021
14,154835.09384360941
15,412186.5170168077
16,271304.31238307484
17,323704.43855459517
18,304021.6807681506
19,477784.9571474453
20,339680.98630585044
21,209826.45357459717
22,175336.49011111044
23,181825.35171414688
24,161206.33350461142
25,204272.51887327625
26,358134.68997511215
27,253766.36338020433
28,204685.12815129274
29,189320.68498828597
30,190739.69442904915
31,109038.66568944696
32,168360.8454622653
33,307164.78541340947
34,298972.786055537
35,215147.09061480226
36,193361.33893398073
37,149179.9861340994
38,149179.9861340994
39,152116.66479128762
40,172681.50990642194
41,150071.4272597399
42,255930.62595885605
43,225879.94983755847
44,215779.75554422315
45,194562.41852695006
46,226756.78406451523
47,190312.48292106768
48,164183.42775729022
49,148341.13612985314
50,154665.54318955913
51,172215.83959938565
52,161553.92413019834
53,142254.8365451045
54,184978.3585692703
55,155051.99208659746
56,139059.73702500112
57,162499.14214718994
58,214413.04080660795
59,137857.761361701
60,148264.5521015884
61,169740.42306566695
62,118038.56928927264
63,120008.39842280358
64,124368.06687137662
65,128409.5985114929
66,88383.58365630366
67,121930.72539684744
68,146136.58385648442
69,159622.03779313667
70,118286.04546427054
71,102967.22954374236
72,155361.51562701823
73,120585.20031599906
74,138781.4270326296
75,114062.97280148833
76,75691.42502406138
77,168220.17940056487
78,163349.25885251706
79,127298.52537171244
80,148867.90824401018
81,140855.07605679444
82,214221.22675020224
83,79316.23719304509
84,105193.84545457238
85,119545.67118725384
86,125377.01845589039
87,134192.57479468657
88,104811.00807628801
89,146202.48821179927
90,117284.71439091419
91,130485.26579575066
92,126174.86119384965
93,120705.16062961995
94,150878.83731057777
95,112230.65948630757
96,126562.60901424178
97,102744.80466929717
98,114285.23790660153
99,141327.96965366328
100,151411.26609600885
101,118665.44204810011
102,117379.49616615172
103,165606.77120204418
104,149567.63194759216
105,159959.46621782475
106,78265.15776677604
107,196446.44085308662
108,106172.77822528958
109,113010.56946436233
110,122071.26369007622
111,138080.56165121638
112,227477.4042931115
113,156933.6158623525
114,195811.09253941156
115,190452.98181450288
116,204471.65190778015
117,140574.85852022207
118,141883.75466501576
119,187197.3126104642
120,133890.8362657326
121,125275.47004834411
122,342651.48734032235
123,233614.3382343965
124,140993.74923353514
125,68317.87903641208
126,102278.60370086538
127,143840.92490544653
128,107539.81067205984
129,135261.6960001998
130,103228.01292278658
