,OverallQual,GrLivArea,GarageCars,TotalBsmtSF,FullBath,YearBuilt,HasBsmt
0,7,7.444248649496705,2,6.752270376141742,2,2003,1
1,6,7.140453043101158,2,7.140453043101158,2,1976,1
2,7,7.487733761436444,2,6.824373670043086,2,2001,1
3,7,7.448333860897476,3,6.628041376179533,1,1915,1
4,8,7.6953031349635665,3,7.0431599159883405,2,2000,1
5,5,7.216709486709457,2,6.679599185844383,1,1993,1
6,8,7.434847875211999,2,7.430114138561801,2,2004,1
7,7,7.644919344958857,2,7.009408932708637,2,1973,1
8,7,7.480992162869525,2,6.858565034791365,2,1931,1
9,5,6.981934677156389,1,6.898714534329988,1,1939,1
10,5,6.946975992135418,1,6.946975992135418,1,1965,1
11,9,7.751045117971802,3,7.069023426578259,3,2005,1
12,5,6.815639990074331,1,6.815639990074331,1,1962,1
13,7,7.309212365692763,3,7.309212365692763,2,2006,1
14,6,7.133295954896068,1,7.133295954896068,1,1960,1
15,7,6.74993119378857,2,6.723832440821209,1,1929,1
16,6,6.911747300251674,2,6.911747300251674,1,1970,1
17,4,7.16703787691222,2,0.0,2,1967,0
18,5,7.01571242048723,2,7.01571242048723,1,2004,1
19,5,7.199678345691172,1,6.9363427358340495,1,1958,1
20,8,7.773173680482536,3,7.05444965813294,3,2005,1
21,7,7.010311867307229,1,6.456769655572163,1,1930,1
22,8,7.492760300922379,2,7.482681828154651,2,2002,1
23,5,6.966024187106113,2,6.946975992135418,1,1976,1
24,5,6.966024187106113,1,6.966024187106113,1,1968,1
25,8,7.3777589082278725,3,7.356279876550748,2,2007,1
26,5,6.802394763324311,2,6.802394763324311,1,1951,1
27,8,7.440733707389261,3,7.440733707389261,2,2007,1
28,5,7.3777589082278725,1,7.302496423727326,1,1957,1
29,4,6.253828811575473,1,6.253828811575473,1,1927,1
30,4,7.183111701743281,1,6.47543271670409,1,1920,1
31,5,7.113142108707088,1,7.113142108707088,1,1966,1
32,8,7.1180162044653335,2,7.1180162044653335,2,2007,1
33,5,7.438383530044307,2,7.242797922793756,1,1959,1
34,9,7.353081920515432,2,7.353081920515432,2,2005,1
35,8,7.804659297056102,3,7.018401799069201,3,2004,1
36,5,7.00033446027523,2,7.00033446027523,1,1994,1
37,5,7.167809184316444,2,7.167809184316444,1,1954,1
38,5,6.963189985870238,1,6.963189985870238,1,1953,1
39,4,7.049254841255837,0,0.0,2,1955,0
40,6,7.188412736496954,2,6.992096427415888,2,1965,1
41,5,7.191429330036379,1,7.2078598714324755,1,1959,1
42,5,6.784457062637643,2,6.733401891837359,1,1983,1
43,5,6.843749949006225,1,6.843749949006225,1,1975,1
44,5,7.047517221357296,1,7.047517221357296,1,1959,1
45,9,7.468513271496337,2,7.468513271496337,2,2005,1
46,7,7.67275789664251,2,7.2682230211595655,1,2003,1
47,8,7.412160334945205,3,7.412160334945205,2,2006,1
48,4,7.280697195384741,0,6.601230118728877,2,1920,1
49,5,6.86171134048073,1,6.86171134048073,1,1966,1
50,6,7.293017679772782,2,6.677083461247136,2,1997,1
51,6,7.069874128458572,2,6.704414354964107,1,1934,1
52,5,6.704414354964107,2,6.704414354964107,1,1963,1
53,9,7.518607216815252,3,7.518607216815252,0,1981,1
54,5,7.215239978730097,2,5.950642552587727,1,1955,1
55,6,7.261927092702751,2,7.261927092702751,2,1964,1
56,8,7.461065514354283,2,6.877296071497429,2,1999,1
57,7,7.450079569807499,2,6.756932389247553,2,2004,1
58,10,7.987864096085687,3,7.251344983372214,3,2006,1
59,5,6.659293919683638,1,6.659293919683638,1,1972,1
60,6,7.05444965813294,2,7.05444965813294,1,2004,1
61,5,7.01301578963963,1,6.272877006546167,1,1920,1
62,8,7.222566018822171,2,7.222566018822171,2,2006,1
63,7,7.444248649496705,2,6.3561076606958915,2,1921,1
64,7,7.617759576608505,2,6.963189985870238,2,1997,1
65,8,7.813187267521416,3,7.04141166379481,2,2004,1
